Date,Category,Description,Amount,Payment_Method,Merchant
2024-01-01,Housing & Rent,Monthly Apartment Rent,108930.86,Upi / Net Banking,Oakridge Apartments
2024-01-01,Food & Dining,Local Diner Dinner,3249.45,Cash,Local Store
2024-01-01,Food & Dining,Bakery Snacks,2804.57,Upi / Net Banking,Bakery Store
2024-01-01,Food & Dining,Chipotle Bowl,1508.11,Cash,Chipotle Store
2024-01-02,Groceries,Walmart Supercenter,3925.9,Credit Card,Walmart Store
2024-01-02,Groceries,Whole Foods Market,7704.06,Debit Card,Whole Store
2024-01-02,Shopping,Clothing Purchase,10831.5,Debit Card,Clothing Store
2024-01-02,Food & Dining,Subway Lunch,2407.0,Credit Card,Subway Store
2024-01-03,Transportation,City Parking Meter,2678.41,Upi / Net Banking,City Store
2024-01-03,Transportation,Uber Ride,2218.59,Upi / Net Banking,Uber Store
2024-01-04,Groceries,Walmart Supercenter,4092.73,Credit Card,Walmart Store
2024-01-04,Food & Dining,Starbucks Coffee,2171.28,Debit Card,Starbucks Store
2024-01-04,Food & Dining,,2278.35,Credit Card,Subway Store
2024-01-05,Entertainment,Fiber Internet & Streaming Subscription,5663.92,Credit Card,NetSpeed Telecom
2024-01-05,Food & Dining,Local Diner Dinner,3249.45,Cash,Local Store
2024-01-05,Food & Dining,Chipotle Bowl,2981.36,Debit Card,Chipotle Store
2024-01-05,Food & Dining,Subway Lunch,1519.73,Credit Card,Subway Store
2024-01-05,Transportation,City Parking Meter,2024.37,Credit Card,City Store
2024-01-06,Food & Dining,Local Diner Dinner,2647.7,Debit Card,Local Store
2024-01-06,Food & Dining,Local Diner Dinner,3160.64,Upi / Net Banking,Local Store
2024-01-06,Food & Dining,Subway Lunch,2432.73,Upi / Net Banking,Subway Store
2024-01-07,Transportation,City Parking Meter,4597.37,Upi / Net Banking,City Store
2024-01-07,Groceries,Walmart Supercenter,3162.3,Debit Card,Walmart Store
2024-01-07,Travel,Weekend Hotel Stay,33975.22,Credit Card,Weekend Store
2024-01-07,Transportation,Metro Monthly Pass,2817.85,Debit Card,Metro Store
2024-01-07,Food & Dining,Subway Lunch,926.28,Upi / Net Banking,Subway Store
2024-01-07,Groceries,Whole Foods Market,13302.41,Debit Card,Whole Store
2024-01-08,Groceries,Trader Joes Groceries,5093.71,Upi / Net Banking,Trader Store
2024-01-08,Food & Dining,Subway Lunch,1241.68,Debit Card,Subway Store
2024-01-08,Healthcare,CVS Pharmacy Medicines,6791.06,Cash,CVS Store
2024-01-09,Food & Dining,Subway Lunch,3234.51,Credit Card,Subway Store
2024-01-09,Food & Dining,Starbucks Coffee,1736.36,Cash,Starbucks Store
2024-01-10,Transportation,Metro Monthly Pass,1483.21,Debit Card,Metro Store
2024-01-10,Transportation,Uber Ride,4220.55,Upi / Net Banking,Uber Store
2024-01-12,Groceries,Whole Foods Market,10461.32,Credit Card,Whole Store
2024-01-12,Groceries,Trader Joes Groceries,7522.29,Debit Card,Trader Store
2024-01-12,Transportation,Metro Monthly Pass,2743.15,Debit Card,Metro Store
2024-01-12,Transportation,City Parking Meter,1533.01,Cash,City Store
2024-01-12,Shopping,Home Depot Tools,7111.44,Credit Card,Home Store
2024-01-13,Food & Dining,Starbucks Coffee,1395.23,Debit Card,Starbucks Store
2024-01-13,Transportation,Uber Ride,4666.26,Credit Card,Uber Store
2024-01-13,Transportation,Uber Ride,3433.71,Debit Card,Uber Store
2024-01-14,Food & Dining,Starbucks Coffee,2327.32,Credit Card,Starbucks Store
2024-01-15,Utilities,Electric & Water Utility Bill,11033.19,Credit Card,City Power & Water
2024-01-15,Food & Dining,Starbucks Coffee,2928.24,Cash,Starbucks Store
2024-01-17,Food & Dining,Subway Lunch,2784.65,,Subway Store
2024-01-17,Transportation,Gas Station Refill,1355.39,Debit Card,Gas Store
2024-01-20,Transportation,Metro Monthly Pass,4322.64,Upi / Net Banking,Metro Store
2024-01-20,Groceries,Trader Joes Groceries,3362.33,Upi / Net Banking,Trader Store
2024-01-20,Groceries,Target Groceries,3371.46,Credit Card,Target Store
2024-01-21,Groceries,Whole Foods Market,7782.08,Upi / Net Banking,Whole Store
2024-01-22,Food & Dining,Bakery Snacks,2348.9,Credit Card,Bakery Store
2024-01-22,Food & Dining,Bakery Snacks,2158.83,Cash,Bakery Store
2024-01-23,Food & Dining,Subway Lunch,2555.57,Credit Card,Subway Store
2024-01-23,Food & Dining,Starbucks Coffee,1376.97,Credit Card,Starbucks Store
2024-01-24,Groceries,Target Groceries,10211.49,Debit Card,Target Store
2024-01-24,Transportation,Gas Station Refill,3604.69,Credit Card,Gas Store
2024-01-25,Transportation,Gas Station Refill,1578.66,Debit Card,Gas Store
2024-01-25,Transportation,Uber Ride,2612.84,Cash,Uber Store
2024-01-25,Transportation,Metro Monthly Pass,5233.15,Cash,Metro Store
2024-01-25,Food & Dining,Local Diner Dinner,2729.04,Cash,Local Store
2024-01-26,Food & Dining,Chipotle Bowl,3239.49,Credit Card,Chipotle Store
2024-01-26,Groceries,Walmart Supercenter,10418.16,Debit Card,Walmart Store
2024-01-26,Food & Dining,Subway Lunch,2470.91,Credit Card,Subway Store
2024-01-26,Groceries,Trader Joes Groceries,6084.73,Credit Card,Trader Store
2024-01-27,Groceries,Trader Joes Groceries,9067.75,Upi / Net Banking,Trader Store
2024-01-27,Food & Dining,Starbucks Coffee,1482.38,Upi / Net Banking,Starbucks Store
2024-01-28,Transportation,Metro Monthly Pass,1762.09,Credit Card,Metro Store
